代碼,名稱,收盤,漲幅%,RSI,K,量比,收盤位置%,策略數,策略
3535,晶彩科,113.5,9.66,39.2,17.2,0.74,100.0,1,📈KD低檔金叉
3178,公準,64.9,2.04,75.1,80.8,0.74,97.7,1,🔥MACD雙共振
5324,士開,12.0,0.0,,99.9,0.73,100.0,1,📊均線多頭排列
1569,濱川,50.6,2.64,46.2,30.0,0.72,55.0,1,📈KD低檔金叉
3023,信邦,266.5,2.11,60.5,56.0,0.71,22.7,1,📊均線多頭排列
3491,昇達科,1640.0,9.7,62.0,63.8,0.71,100.0,1,📊均線多頭排列
1582,信錦,105.0,0.0,66.4,74.6,0.7,79.2,1,📊均線多頭排列
3711,日月光投控,352.0,-2.49,54.8,65.5,0.7,20.0,1,📊均線多頭排列
2027,大成鋼,38.1,-0.78,65.2,38.7,0.68,29.0,1,🔥MACD雙共振
3078,僑威,57.2,0.7,31.0,19.2,0.68,66.7,1,📈KD低檔金叉
6547,高端疫苗,59.3,0.85,81.6,90.3,0.68,23.5,1,📊均線多頭排列
6223,旺矽,3920.0,4.12,60.3,72.4,0.67,71.9,1,📊均線多頭排列
2548,華固,122.0,0.0,58.3,68.3,0.66,100.0,1,📊均線多頭排列
3563,牧德,801.0,3.35,63.0,64.4,0.64,20.0,1,📊均線多頭排列
3709,鑫聯大投控,65.2,2.84,43.0,18.0,0.64,74.1,1,📈KD低檔金叉
6227,茂綸,89.5,-2.51,64.1,73.6,0.64,0.0,1,📊均線多頭排列
5016,松和,30.8,-1.75,75.1,77.9,0.59,27.9,1,📊均線多頭排列
8415,大國鋼,34.55,1.02,73.0,44.8,0.59,43.7,1,🔥MACD雙共振
2006,東和鋼鐵,69.6,0.43,29.2,13.1,0.58,30.0,1,📈KD低檔金叉
2615,萬海,79.4,1.79,51.2,60.2,0.57,81.3,1,🔥MACD雙共振
6683,雍智科技,1480.0,2.07,64.7,83.2,0.57,76.0,1,📊均線多頭排列
2497,怡利電,51.5,-1.15,74.7,83.3,0.55,31.2,1,🔥MACD雙共振
3265,台星科,144.0,0.35,62.3,61.9,0.54,15.4,1,📊均線多頭排列
6588,東典光電,130.0,-0.76,71.4,82.7,0.53,56.2,1,📊均線多頭排列
2892,第一金,28.6,0.7,46.2,33.6,0.45,83.3,1,📈KD低檔金叉
